standard_role,job_count,company_count,median_salary,mean_salary,min_salary,max_salary,market_share_pct
Software Engineer,182,100,62083.1,66215.4758563536,22500.0,170000.0,15.371621621621623
Data Engineer,152,119,69116.65,77715.63655629139,31856.68,201500.0,12.837837837837837
Business Analyst,149,105,62500.0,73355.51578231293,25000.0,201500.0,12.58445945945946
Data Scientist,149,105,62304.1,69081.55221476509,26551.41,293750.0,12.58445945945946
Data Analyst,147,103,50000.0,57396.993767123284,22880.0,146900.0,12.41554054054054
Web Developer,119,86,46372.415,51978.15491525424,26001.36,195000.0,10.050675675675675
Cyber Security,108,75,61250.0,71126.41500000001,30000.0,188500.0,9.121621621621621
Cloud Engineer,95,81,71928.63,77447.27989473684,37500.0,145709.75,8.02364864864865
Cyber Security Engineer,31,29,63178.81,64578.9635483871,40208.03,92021.47,2.6182432432432434
DevOps Engineer,25,20,68856.64,68693.86839999999,51259.1,97500.0,2.1114864864864864
Cyber Security Analyst,20,15,63658.21,63955.085999999996,30273.05,187200.0,1.6891891891891893
Financial Data Analyst,3,2,65000.0,99666.66666666667,65000.0,169000.0,0.2533783783783784
AI Engineer,1,1,118366.32,118366.32,118366.32,118366.32,0.08445945945945946
Business Intelligence Analyst,1,1,35500.0,35500.0,35500.0,35500.0,0.08445945945945946
Python Developer,1,1,49319.04,49319.04,49319.04,49319.04,0.08445945945945946
Product Analyst,1,1,27639.79,27639.79,27639.79,27639.79,0.08445945945945946
